政治实体,"ISO 3166-1,二位字母代码","ISO 3166-1,三位字母代码","ISO 3166-1,三位数字代码",互联网
 阿富汗,AF,AFG,4,.af
 阿尔巴尼亚,AL,ALB,8,.al
 阿尔及利亚,DZ,DZA,12,.dz
 美属萨摩亚,AS,ASM,16,.as
 安道尔,AD,AND,20,.ad
 安哥拉,AO,AGO,24,.ao
 安圭拉,AI,AIA,660,.ai
 南极洲,AQ,ATA,10,.aq
 安提瓜和巴布达,AG,ATG,28,.ag
 阿根廷,AR,ARG,32,.ar
 亚美尼亚,AM,ARM,51,.am
 阿鲁巴,AW,ABW,533,.aw
 澳大利亚,AU,AUS,36,.au
 奥地利,AT,AUT,40,.at
 阿塞拜疆,AZ,AZE,31,.az
 巴哈马,BS,BHS,44,.bs
 巴林,BH,BHR,48,.bh
 孟加拉国,BD,BGD,50,.bd
 巴巴多斯,BB,BRB,52,.bb
 白俄罗斯,BY,BLR,112,.by
 比利时,BE,BEL,56,.be
 伯利兹,BZ,BLZ,84,.bz
 贝宁,BJ,BEN,204,.bj
 百慕大,BM,BMU,60,.bm
 不丹,BT,BTN,64,.bt
 玻利维亚,BO,BOL,68,.bo
 波斯尼亚和黑塞哥维那,BA,BIH,70,.ba
 博茨瓦纳,BW,BWA,72,.bw
 布韦岛,BV,BVT,74,.bv
 巴西,BR,BRA,76,.br
 英属印度洋领地,IO,IOT,86,.io
 英属维尔京群岛,VG,VGB,92,.vg
 文莱,BN,BRN,96,.bn
 保加利亚,BG,BGR,100,.bg
 布基纳法索,BF,BFA,854,.bf
 缅甸,MM,MMR,104,.mm
 布隆迪,BI,BDI,108,.bi
 佛得角,CV,CPV,132,.cv
 柬埔寨,KH,KHM,116,.kh
 喀麦隆,CM,CMR,120,.cm
 加拿大,CA,CAN,124,.ca
 开曼群岛,KY,CYM,136,.ky
 中非,CF,CAF,140,.cf
 乍得,TD,TCD,148,.td
 智利,CL,CHL,152,.cl
 中国,CN,CHN,156,.cn
 圣诞岛,CX,CXR,162,.cx
 科科斯（基林）群岛,CC,CCK,166,.cc
 哥伦比亚,CO,COL,170,.co
 科摩罗,KM,COM,174,.km
 刚果（金）,CD,COD,180,.cd
 刚果（布）,CG,COG,178,.cg
 库克群岛,CK,COK,184,.ck
 哥斯达黎加,CR,CRI,188,.cr
 科特迪瓦,CI,CIV,384,.ci
 克罗地亚,HR,HRV,191,.hr
 古巴,CU,CUB,192,.cu
 库拉索,CW,CUW,531,.cw
 塞浦路斯,CY,CYP,196,.cy
 捷克,CZ,CZE,203,.cz
 丹麦,DK,DNK,208,.dk
 吉布提,DJ,DJI,262,.dj
 多米尼克,DM,DMA,212,.dm
 多米尼加,DO,DOM,214,.do
 厄瓜多尔,EC,ECU,218,.ec
 埃及,EG,EGY,818,.eg
 萨尔瓦多,SV,SLV,222,.sv
 赤道几内亚,GQ,GNQ,226,.gq
 厄立特里亚,ER,ERI,232,.er
 爱沙尼亚,EE,EST,233,.ee
 埃塞俄比亚,ET,ETH,231,.et
 福克兰群岛,FK,FLK,238,.fk
 法罗群岛,FO,FRO,234,.fo
 斐济,FJ,FJI,242,.fj
 芬兰,FI,FIN,246,.fi
 法国,FR,FRA,250,.fr
 法国本土,FX,FXX,249,不适用
 法属圭亚那,GF,GUF,254,.gf
 法属波利尼西亚,PF,PYF,258,.pf
 法属南方和南极洲领地,TF,ATF,260,.tf
 加蓬,GA,GAB,266,.ga
 冈比亚,GM,GMB,270,.gm
 巴勒斯坦,PS,PSE,275,.ps
 格鲁吉亚,GE,GEO,268,.ge
 德国,DE,DEU,276,.de
 加纳,GH,GHA,288,.gh
 直布罗陀,GI,GIB,292,.gi
 希腊,GR,GRC,300,.gr
 格陵兰,GL,GRL,304,.gl
 格林纳达,GD,GRD,308,.gd
 瓜德罗普,GP,GLP,312,.gp
 关岛,GU,GUM,316,.gu
 危地马拉,GT,GTM,320,.gt
 根西,GG,GGY,831,.gg
 几内亚,GN,GIN,324,.gn
 几内亚比绍,GW,GNB,624,.gw
 圭亚那,GY,GUY,328,.gy
 海地,HT,HTI,332,.ht
 赫德岛和麦克唐纳群岛,HM,HMD,334,.hm
 梵蒂冈,VA,VAT,336,.va
 洪都拉斯,HN,HND,340,.hn
 香港,HK,HKG,344,.hk
 匈牙利,HU,HUN,348,.hu
 冰岛,IS,ISL,352,.is
 印度,IN,IND,356,.in
 印尼,ID,IDN,360,.id
 伊朗,IR,IRN,364,.ir
 伊拉克,IQ,IRQ,368,.iq
 爱尔兰,IE,IRL,372,.ie
 马恩岛,IM,IMN,833,.im
 以色列,IL,ISR,376,.il
 意大利,IT,ITA,380,.it
 牙买加,JM,JAM,388,.jm
 日本,JP,JPN,392,.jp
 泽西,JE,JEY,832,.je
 约旦,JO,JOR,400,.jo
 哈萨克斯坦,KZ,KAZ,398,.kz
 肯尼亚,KE,KEN,404,.ke
 基里巴斯,KI,KIR,296,.ki
 朝鲜,KP,PRK,408,.kp
 韩国,KR,KOR,410,.kr
 科索沃,XK,XKS,不适用,不适用
 科威特,KW,KWT,414,.kw
 吉尔吉斯斯坦,KG,KGZ,417,.kg
 老挝,LA,LAO,418,.la
 拉脱维亚,LV,LVA,428,.lv
 黎巴嫩,LB,LBN,422,.lb
 莱索托,LS,LSO,426,.ls
 利比里亚,LR,LBR,430,.lr
 利比亚,LY,LBY,434,.ly
 列支敦士登,LI,LIE,438,.li
 立陶宛,LT,LTU,440,.lt
 卢森堡,LU,LUX,442,.lu
 澳门,MO,MAC,446,.mo
 马其顿,MK,MKD,807,.mk
 马达加斯加,MG,MDG,450,.mg
 马拉维,MW,MWI,454,.mw
 马来西亚,MY,MYS,458,.my
 马尔代夫,MV,MDV,462,.mv
 马里,ML,MLI,466,.ml
 马耳他,MT,MLT,470,.mt
 马绍尔群岛,MH,MHL,584,.mh
 马提尼克,MQ,MTQ,474,.mq
 毛里塔尼亚,MR,MRT,478,.mr
 毛里求斯,MU,MUS,480,.mu
 马约特,YT,MYT,175,.yt
 墨西哥,MX,MEX,484,.mx
 密克罗尼西亚联邦,FM,FSM,583,.fm
 摩尔多瓦,MD,MDA,498,.md
 摩纳哥,MC,MCO,492,.mc
 蒙古,MN,MNG,496,.mn
 黑山,ME,MNE,499,.me
 蒙特塞拉特,MS,MSR,500,.ms
 摩洛哥,MA,MAR,504,.ma
 莫桑比克,MZ,MOZ,508,.mz
 纳米比亚,NA,NAM,516,.na
 瑙鲁,NR,NRU,520,.nr
 尼泊尔,NP,NPL,524,.np
 荷兰,NL,NLD,528,.nl
 荷属安的列斯,AN,ANT,不适用,.an
 新喀里多尼亚,NC,NCL,540,.nc
 新西兰,NZ,NZL,554,.nz
 尼加拉瓜,NI,NIC,558,.ni
 尼日尔,NE,NER,562,.ne
 尼日利亚,NG,NGA,566,.ng
 纽埃,NU,NIU,570,.nu
 诺福克岛,NF,NFK,574,.nf
 北马里亚纳群岛,MP,MNP,580,.mp
 挪威,NO,NOR,578,.no
 阿曼,OM,OMN,512,.om
 巴基斯坦,PK,PAK,586,.pk
 帕劳,PW,PLW,585,.pw
 巴拿马,PA,PAN,591,.pa
 巴布亚新几内亚,PG,PNG,598,.pg
 巴拉圭,PY,PRY,600,.py
 秘鲁,PE,PER,604,.pe
 菲律宾,PH,PHL,608,.ph
 皮特凯恩群岛,PN,PCN,612,.pn
 波兰,PL,POL,616,.pl
 葡萄牙,PT,PRT,620,.pt
 波多黎各,PR,PRI,630,.pr
 卡塔尔,QA,QAT,634,.qa
 留尼汪,RE,REU,638,.re
 罗马尼亚,RO,ROU,642,.ro
 台湾,TW,TWN,158,.tw
 俄罗斯,RU,RUS,643,.ru
 卢旺达,RW,RWA,646,.rw
 圣巴泰勒米,BL,BLM,652,.bl
 圣赫勒拿、阿森松和特里斯坦-达库尼亚,SH,SHN,654,.sh
 圣基茨和尼维斯,KN,KNA,659,.kn
 圣卢西亚,LC,LCA,662,.lc
 法属圣马丁,MF,MAF,663,.mf
 圣文森特和格林纳丁斯,VC,VCT,670,.vc
 萨摩亚,WS,WSM,882,.ws
 圣马力诺,SM,SMR,674,.sm
 圣多美和普林西比,ST,STP,678,.st
 沙特阿拉伯,SA,SAU,682,.sa
 塞内加尔,SN,SEN,686,.sn
 塞尔维亚,RS,SRB,688,.rs
 塞舌尔,SC,SYC,690,.sc
 塞拉利昂,SL,SLE,694,.sl
 新加坡,SG,SGP,702,.sg
 圣马丁,SX,SXM,534,.sx
 斯洛伐克,SK,SVK,703,.sk
 斯洛文尼亚,SI,SVN,705,.si
 所罗门群岛,SB,SLB,90,.sb
 索马里,SO,SOM,706,.so
 南非,ZA,ZAF,710,.za
 南乔治亚和南桑威奇群岛,GS,SGS,239,.gs
 南苏丹,SS,SSD,728,.ss
 西班牙,ES,ESP,724,.es
 斯里兰卡,LK,LKA,144,.lk
 苏丹,SD,SDN,729,.sd
 苏里南,SR,SUR,740,.sr
 圣皮埃尔和密克隆,PM,SPM,666,.pm
 斯威士兰,SZ,SWZ,748,.sz
 瑞典,SE,SWE,752,.se
 瑞士,CH,CHE,756,.ch
 叙利亚,SY,SYR,760,.sy
 塔吉克斯坦,TJ,TJK,762,.tj
 坦桑尼亚,TZ,TZA,834,.tz
 泰国,TH,THA,764,.th
 东帝汶,TL,TLS,626,.tl
 多哥,TG,TGO,768,.tg
 托克劳,TK,TKL,772,.tk
 汤加,TO,TON,776,.to
 特立尼达和多巴哥,TT,TTO,780,.tt
 突尼斯,TN,TUN,788,.tn
 土耳其,TR,TUR,792,.tr
 土库曼斯坦,TM,TKM,795,.tm
 特克斯和凯科斯群岛,TC,TCA,796,.tc
 图瓦卢,TV,TUV,798,.tv
 乌干达,UG,UGA,800,.ug
 乌克兰,UA,UKR,804,.ua
 阿联酋,AE,ARE,784,.ae
 英国,GB,GBR,826,.uk
 美国,US,USA,840,.us
 美国本土外小岛屿,UM,UMI,581,.um
 乌拉圭,UY,URY,858,.uy
 乌兹别克斯坦,UZ,UZB,860,.uz
 瓦努阿图,VU,VUT,548,.vu
 委内瑞拉,VE,VEN,862,.ve
 越南,VN,VNM,704,.vn
 美属维尔京群岛,VI,VIR,850,.vi
 瓦利斯和富图纳,WF,WLF,876,.wf
 巴勒斯坦,PS,PSE,275,.ps
 西撒哈拉,EH,ESH,732,.eh
 也门,YE,YEM,887,.ye
 扎伊尔,ZA,ZAI,不适用,不适用
 赞比亚,ZM,ZMB,894,.zm
 津巴布韦,ZW,ZWE,716,.zw
 罗得西亚,RO,RHO,不适用,不适用
 西印度群岛联邦,WI,WIF,不适用,不适用
 独联体,EN,EUN,不适用,不适用
 澳大拉西亚,AZ,ANZ,不适用,不适用
 南斯拉夫,YG,YUG,不适用,不适用
 苏联,UR,URS,不适用,不适用
 达荷美,DH,DAH,不适用,不适用
 上沃尔特,VL,VOL,不适用,不适用
 波希米亚,BO,BOH,不适用,不适用
 捷克斯洛伐克,TC,TCH,不适用,不适用
 联合阿拉伯共和国,UA,UAR,不适用,不适用
 塞尔维亚和黑山,SG,SCG,不适用,不适用
